,A,B,C,D,E,F,G,H,I,J,K,L,M,N,O,P,Q,R,S,T,U,V,W,X,Y,Z,_
K,0.004671629645257543,2.086583960660937e-05,8.810021167235068e-05,0.0018895176977096262,0.0018037359126602322,6.9552798688697906e-06,2.3184266229565966e-06,6.027909219687151e-05,7.18712253116545e-05,3.0139546098435756e-05,7.418965193461109e-05,0.0023137897697106833,7.882650518052429e-05,0.0007789913453134165,0.00871960252893976,0.00010201077141009026,2.3184266229565966e-06,0.0025247665923997338,0.0001367871707544392,0.0009551917686581178,0.0023879794216452948,0.0002225689558038333,2.3184266229565966e-06,2.3184266229565966e-06,0.002195550011939897,9.273706491826387e-05,0.004660037512142759
L,0.009025634843170031,9.273706491826387e-05,0.0002782111947547916,0.000143742450623309,0.007613713029789464,1.3910559737739581e-05,1.1592133114782984e-05,0.00019474783632835412,0.004838556362110417,7.882650518052429e-05,0.0005425118297718437,6.723437206574131e-05,0.00017620042334470136,0.001126755338756906,0.004931293427028681,0.00020402154282018052,2.3184266229565966e-06,3.9413252590262146e-05,0.0002735743415088784,0.00022720580904974649,0.0013632348542984788,0.00011592133114782984,2.3184266229565967e-05,6.9552798688697906e-06,0.0016275354893155309,0.0003709482596730555,0.012150873930915523
M,0.003227249859155583,6.25975188198281e-05,0.00017388199672174474,6.95527986886979e-05,0.003064959995548621,4.636853245913193e-06,4.636853245913193e-06,0.00010432919803304685,0.0036097902519434213,6.25975188198281e-05,0.00030139546098435755,0.0006653884407885433,5.3323812328001724e-05,0.0013655532809214355,0.0017573673802011003,0.00026430063501705204,2.3184266229565966e-06,0.0005286012700341041,0.0002898033278695746,0.0001460608772462656,0.0029351281046630516,5.5642238950958324e-05,4.636853245913193e-06,6.9552798688697906e-06,0.000862454703739854,0.00022952423567270308,0.008047258808282347
N,0.010043424130647977,3.7094825967305545e-05,0.001569574823741616,0.0002225689558038333,0.016196528387974786,2.3184266229565967e-05,0.00011128447790191665,3.477639934434895e-05,0.006825447977984221,3.0139546098435756e-05,0.0006004724953457586,1.622898636069618e-05,2.086583960660937e-05,0.0002086583960660937,0.004163894214830047,0.00011360290452487324,4.636853245913193e-06,4.636853245913193e-06,0.00040340623239444785,0.0004752774577061023,0.001775914793184753,4.173167921321874e-05,4.636853245913193e-06,4.636853245913193e-06,0.002805296213777482,0.00029907703436140096,0.0038091749415176883
O,6.25975188198281e-05,0.0020286232950870223,0.002661553763154173,0.003581969132467942,2.5502692852522565e-05,0.00012055818439374303,7.18712253116545e-05,0.0022743765171204214,4.868695908208853e-05,0.0011453027517405589,0.004799143109520156,0.0024273926742355567,0.002571135124858866,0.0032643446851228883,0.00010432919803304685,0.004293726105715617,2.3184266229565966e-06,0.002536358725514517,0.0037233931564682942,0.002248873824267899,0.006639973848147693,0.005464531550308699,1.1592133114782984e-05,2.7821119475479162e-05,6.9552798688697906e-06,0.0034173608422380236,0.0158858592204986
P,0.004588166286831105,6.9552798688697906e-06,5.100538570504513e-05,1.622898636069618e-05,0.0013841006939050882,1.1592133114782984e-05,2.3184266229565966e-06,1.622898636069618e-05,0.0012287661101669962,3.9413252590262146e-05,6.25975188198281e-05,0.0010479288335763818,6.9552798688697906e-06,0.00019242940970539752,0.007639215722641987,3.7094825967305545e-05,2.3184266229565966e-06,0.010208032420877896,0.0003408087135746197,0.0004915064440667985,0.0007372596661001978,9.273706491826386e-06,2.3184266229565966e-06,4.636853245913193e-06,0.0002086583960660937,2.5502692852522565e-05,0.002151499906103722
Q,2.3184266229565966e-06,2.3184266229565966e-06,2.3184266229565966e-06,2.3184266229565966e-06,2.3184266229565966e-06,2.3184266229565966e-06,2.3184266229565966e-06,2.3184266229565966e-06,2.3184266229565966e-06,2.3184266229565966e-06,2.3184266229565966e-06,2.3184266229565966e-06,2.3184266229565966e-06,2.3184266229565966e-06,2.3184266229565966e-06,2.3184266229565966e-06,2.3184266229565966e-06,2.3184266229565966e-06,2.3184266229565966e-06,2.3184266229565966e-06,1.1592133114782984e-05,2.3184266229565966e-06,2.3184266229565966e-06,2.3184266229565966e-06,2.3184266229565966e-06,2.3184266229565966e-06,4.636853245913193e-06
R,0.007715723801199554,4.868695908208853e-05,0.00041036151226331763,0.0003918140992796648,0.005357883925652695,6.9552798688697906e-06,7.65080785575677e-05,0.00038485881941079504,0.005065762171160164,1.3910559737739581e-05,0.0006352488946901075,0.00017156357009878815,0.00016692671685287496,0.0010850236595436873,0.008738149941923413,0.00015069773049217877,2.3184266229565966e-06,0.00011128447790191665,0.0012519503763965623,0.0006445226011819339,0.002603593097580258,0.0004799143109520155,1.622898636069618e-05,2.3184266229565966e-06,0.0015023404516758747,0.00038485881941079504,0.0011128447790191664
S,0.0013585980010525657,5.100538570504513e-05,0.00026893748826296523,3.7094825967305545e-05,0.011661685913471682,2.3184266229565967e-05,4.636853245913193e-06,0.00010201077141009026,0.004799143109520156,3.7094825967305545e-05,0.0025989562443343448,0.00265691690990826,0.0010247445673468158,0.0014049665335116976,0.0017179541276108382,0.0012102186971833435,2.3184266229565966e-06,0.00022720580904974649,0.00016228986360696177,0.01014311647543511,0.0006792990005262829,0.0015765301036104857,4.636853245913193e-06,6.9552798688697906e-06,0.0003477639934434895,2.3184266229565967e-05,0.00352864532013994
T,0.006690979233852738,2.5502692852522565e-05,9.737391816417706e-05,4.6368532459131935e-05,0.009347896143760998,4.636853245913193e-06,1.1592133114782984e-05,3.9413252590262146e-05,0.0052234151815212125,5.100538570504513e-05,0.0006097462018375849,0.000753488652460894,0.00021793210255792008,0.0011058894991502967,0.007370278234379021,0.00010664762465600345,2.3184266229565966e-06,0.0036422482246648135,0.00015997143698400518,0.00019242940970539752,0.002156136759349635,0.0009157785160678557,2.3184266229565966e-06,9.273706491826386e-06,0.0015834853834793556,5.5642238950958324e-05,0.005286012700341041
U,8.578178504939407e-05,0.0007511702258379373,0.0019567520697753677,0.001891836124332583,3.0139546098435756e-05,0.00016924514347583155,2.3184266229565967e-05,0.000804494038165939,9.273706491826386e-06,0.0009737391816417706,0.001402648106888741,0.0010687946731829912,0.0008670915569857671,0.0006700252940344565,4.405010583617534e-05,0.0010316998472156855,2.3184266229565966e-06,0.0005842435089850623,0.002828480480007048,0.001597395943217095,3.9413252590262146e-05,0.0007905834784281995,2.7821119475479162e-05,1.3910559737739581e-05,2.3184266229565966e-06,0.0019938468957426733,0.01117249789602784
V,0.0059374905813918445,2.3184266229565967e-05,0.0002086583960660937,0.0001414240240003524,0.006394220626114294,2.3184266229565966e-06,4.636853245913193e-06,2.086583960660937e-05,0.004442105409584839,1.1592133114782984e-05,0.00024575322203339924,0.0007558070790838505,1.1592133114782984e-05,0.0010316998472156855,0.0022048237184317237,0.00010896605127896004,2.3184266229565966e-06,0.0011916712841996907,0.0013307768815770866,0.00012287661101669962,0.0008230414511495918,1.8547412983652773e-05,2.3184266229565966e-06,2.3184266229565966e-06,0.003929733125911432,0.0009412812089203783,0.002311471343087727
W,4.405010583617534e-05,2.3184266229565966e-06,2.3184266229565966e-06,4.636853245913193e-06,1.1592133114782984e-05,2.3184266229565966e-06,2.3184266229565966e-06,2.5502692852522565e-05,6.25975188198281e-05,2.3184266229565966e-06,6.9552798688697906e-06,2.3184266229565966e-06,2.3184266229565966e-06,6.9552798688697906e-06,2.3184266229565966e-06,4.636853245913193e-06,2.3184266229565966e-06,2.3184266229565966e-06,4.636853245913193e-06,4.636853245913193e-06,6.9552798688697906e-06,2.3184266229565966e-06,2.3184266229565966e-06,2.3184266229565966e-06,2.3184266229565966e-06,2.3184266229565966e-06,4.636853245913193e-06
X,6.9552798688697906e-06,4.636853245913193e-06,6.9552798688697906e-06,4.636853245913193e-06,6.9552798688697906e-06,2.3184266229565966e-06,2.3184266229565966e-06,2.3184266229565966e-06,5.3323812328001724e-05,2.3184266229565966e-06,2.3184266229565966e-06,2.5502692852522565e-05,2.3184266229565966e-06,9.273706491826386e-06,2.086583960660937e-05,8.810021167235068e-05,2.3184266229565966e-06,4.636853245913193e-06,2.3184266229565966e-06,2.086583960660937e-05,2.3184266229565966e-06,3.245797272139236e-05,2.3184266229565966e-06,7.18712253116545e-05,2.3184266229565966e-06,2.3184266229565966e-06,9.273706491826386e-06
Y,4.868695908208853e-05,0.000827678304395505,0.0018130096191520586,0.00040340623239444785,1.1592133114782984e-05,9.273706491826386e-06,9.273706491826386e-06,0.00026198220839409545,6.9552798688697906e-06,0.0001275134642626128,0.00047064060446018913,0.0018315570321357113,0.0016715855951517063,0.0005703329492473228,4.173167921321874e-05,0.00045904847134540616,2.3184266229565966e-06,0.0004451379116076666,0.0019057466840703226,0.0007697176388215901,3.477639934434895e-05,0.0003547192733123593,2.3184266229565966e-06,9.273706491826386e-06,2.3184266229565966e-06,0.0007210306797395016,0.00942904107556448
Z,0.005596681867817224,0.0003570376999353159,0.0002156136759349635,0.0012960004822327375,0.005063443744537207,2.3184266229565966e-06,4.636853245913193e-06,0.0002851664746236614,0.002272058090497465,9.737391816417706e-05,0.0008346335842643748,0.0006282936148212377,0.00040340623239444785,0.0021352709197430255,0.0007604439323297637,0.0006677068674114998,2.3184266229565966e-06,0.00044281948498471,0.00021793210255792008,0.0005309196966570606,0.0007349412394772411,0.0007697176388215901,2.3184266229565966e-06,6.9552798688697906e-06,0.00012287661101669962,6.491594544278471e-05,0.0034637293746971557
_,0.011592133114782984,0.005058806891291294,0.005995451246965759,0.007439831033067719,0.0002921217544925312,0.00029907703436140096,0.00019474783632835412,0.0044583343959455355,0.0006862542803951526,0.011068168697994794,0.0071732119714277105,0.001845467591873451,0.006542599929983516,0.014608406151249516,0.005337018086046086,0.017314010020239863,6.9552798688697906e-06,0.004822327375749721,0.018097638218799193,0.012498637924359013,0.003690935183746902,0.011728920285537422,6.723437206574131e-05,2.3184266229565966e-06,1.1592133114782984e-05,0.010530293721468862,0.0010085155809861196
